batch,instance,budget,completion_rows,checkpoint,method,runs,feasible,feasible_rate,median_all,median_conditional,reference_optimum
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,compact,1,1,1.0,62.0,62.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,qaia_50_4,3,0,0.0,,,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,qaia_200_10,3,0,0.0,,,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,greedy_4,3,0,0.0,,,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,greedy_10,3,2,0.6666666666666666,,80.5,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,exact,3,0,0.0,,,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,10.0,compact,1,1,1.0,62.0,62.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,10.0,qaia_50_4,3,3,1.0,66.0,66.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,10.0,qaia_200_10,3,3,1.0,73.0,73.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,10.0,greedy_4,3,3,1.0,65.0,65.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,10.0,greedy_10,3,3,1.0,68.0,68.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,10.0,exact,3,3,1.0,81.0,81.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,30.0,compact,1,1,1.0,62.0,62.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,30.0,qaia_50_4,3,3,1.0,63.0,63.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,30.0,qaia_200_10,3,3,1.0,64.0,64.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,30.0,greedy_4,3,3,1.0,63.0,63.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,30.0,greedy_10,3,3,1.0,63.0,63.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,30.0,exact,3,3,1.0,62.0,62.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,60.0,compact,1,1,1.0,62.0,62.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,60.0,qaia_50_4,3,3,1.0,63.0,63.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,60.0,qaia_200_10,3,3,1.0,63.0,63.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,60.0,greedy_4,3,3,1.0,63.0,63.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,60.0,greedy_10,3,3,1.0,63.0,63.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,60.0,exact,3,3,1.0,62.0,62.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,120.0,compact,1,1,1.0,62.0,62.0,62.0
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,120.0,qaia_50_4,3,3,1.0,63.0,63.0,62.0
