batch,instance,budget,completion_rows,checkpoint,method,seed,exact_repeat,method_objective,exact_objective,delta_vs_exact,outcome
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,qaia_50_4,0,0,,,,both_missing
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,qaia_50_4,1,1,,,,both_missing
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,qaia_50_4,2,2,,,,both_missing
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,qaia_200_10,0,0,,,,both_missing
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,qaia_200_10,1,1,,,,both_missing
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,qaia_200_10,2,2,,,,both_missing
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,greedy_4,0,0,,,,both_missing
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,greedy_4,1,1,,,,both_missing
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,greedy_4,2,2,,,,both_missing
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,greedy_10,0,0,,,,both_missing
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,greedy_10,1,1,82.0,,,method_only
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,1.0,greedy_10,2,2,79.0,,,method_only
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,10.0,qaia_50_4,0,0,66.0,81.0,-15.0,method
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,10.0,qaia_50_4,1,1,66.0,81.0,-15.0,method
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,10.0,qaia_50_4,2,2,66.0,65.0,1.0,exact
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,10.0,qaia_200_10,0,0,73.0,81.0,-8.0,method
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,10.0,qaia_200_10,1,1,73.0,81.0,-8.0,method
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,10.0,qaia_200_10,2,2,72.0,65.0,7.0,exact
acn_scale_v4_grid,2019-03-04_N16_C4,120.0,vehicle,10.0,greedy_4,0,0,63.0,81.0,-18.0,method
