batch,instance,budget,completion_rows,checkpoint,method,runs,feasible,feasible_rate,median_all,median_conditional,reference_optimum
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,compact,1,1,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,qaia_50_4,3,0,0.0,,,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,qaia_200_10,3,0,0.0,,,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,greedy_4,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,greedy_10,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,exact,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,compact,1,1,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,qaia_50_4,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,qaia_200_10,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,greedy_4,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,greedy_10,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,exact,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,compact,1,1,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,qaia_50_4,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,qaia_200_10,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,greedy_4,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,greedy_10,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,exact,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,compact,1,1,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,qaia_50_4,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,qaia_200_10,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,greedy_4,3,3,1.0,67.0,67.0,67.0
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,greedy_10,3,3,1.0,67.0,67.0,67.0
