batch,instance,budget,completion_rows,checkpoint,method,seed,exact_repeat,method_objective,exact_objective,delta_vs_exact,outcome
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,qaia_50_4,0,0,,67.0,,exact_only
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,qaia_50_4,1,1,,67.0,,exact_only
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,qaia_50_4,2,2,,67.0,,exact_only
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,qaia_200_10,0,0,,67.0,,exact_only
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,qaia_200_10,1,1,,67.0,,exact_only
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,qaia_200_10,2,2,,67.0,,exact_only
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,greedy_4,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,greedy_4,1,1,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,greedy_4,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,greedy_10,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,greedy_10,1,1,68.0,67.0,1.0,exact
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,1.0,greedy_10,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,qaia_50_4,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,qaia_50_4,1,1,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,qaia_50_4,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,qaia_200_10,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,qaia_200_10,1,1,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,qaia_200_10,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,greedy_4,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,greedy_4,1,1,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,greedy_4,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,greedy_10,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,greedy_10,1,1,68.0,67.0,1.0,exact
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,10.0,greedy_10,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,qaia_50_4,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,qaia_50_4,1,1,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,qaia_50_4,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,qaia_200_10,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,qaia_200_10,1,1,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,qaia_200_10,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,greedy_4,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,greedy_4,1,1,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,greedy_4,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,greedy_10,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,greedy_10,1,1,68.0,67.0,1.0,exact
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,30.0,greedy_10,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,qaia_50_4,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,qaia_50_4,1,1,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,qaia_50_4,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,qaia_200_10,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,qaia_200_10,1,1,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,qaia_200_10,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,greedy_4,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,greedy_4,1,1,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,greedy_4,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,greedy_10,0,0,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,greedy_10,1,1,68.0,67.0,1.0,exact
acn_scale_v4_pilot,2019-03-05_N16_C4,60.0,vehicle,60.0,greedy_10,2,2,67.0,67.0,0.0,tie
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,1.0,qaia_50_4,0,0,,76.0,,exact_only
