batch,instance,budget,timing_basis,completion_rows,checkpoint,method,pairs,both_feasible,method_wins,exact_wins,ties,method_only,exact_only,both_missing,median_delta_complete
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,3,0,2,1,0,0,0,1.0
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,2,0,1,0,0,0,-1.0
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,1,2,0,0,0,0,1.0
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,2,0,1,0,0,0,-1.0
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,0,1,2,0,0,0,0.0
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,2,1,0,0,0,0,-1.0
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,0,1,2,0,0,0,0.0
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,3,0,3,0,0,0,0,4.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,0,3,0,0,0,0,7.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,0,3,0,0,0,0,3.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,1,2,0,0,0,0,1.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,0,3,0,0,0,0,2.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,0,3,0,0,0,0,1.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,0,3,0,0,0,0,3.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,0,3,0,0,0,0,2.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,3,2,1,0,0,0,0,-1.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,0,3,0,0,0,0,1.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,1,1,1,0,0,0,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,0,3,0,0,0,0,2.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,0,3,0,0,0,0,3.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,0,3,0,0,0,0,2.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,0,3,0,0,0,0,2.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,3,0,0,0,0,0,-1.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,3,0,0,0,0,0,-1.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,1,1,1,0,0,0,0.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,0,1,2,0,0,0,0.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,1,2,0,0,0,0,8.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,0,2,1,0,0,0,1.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,1,2,0,0,0,0,3.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,3,0,0,0,0,0,-3.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,1,0,2,0,0,0,0.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,0,1,2,0,0,0,0.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,3,3,0,0,0,0,0,-1.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,3,0,0,0,0,0,-6.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,3,0,0,0,0,0,-3.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,3,0,0,0,0,0,-6.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,0,1,2,0,0,0,0.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,0,2,1,0,0,0,4.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,0,2,1,0,0,0,1.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,1,2,0,0,0,0,4.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,3,0,0,0,0,0,-2.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,1,2,0,0,0,0,2.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,3,0,0,0,0,0,-2.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,3,0,0,0,0,0,-2.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,1,1,1,0,0,0,0.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,0,3,0,0,0,0,1.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,0,2,1,0,0,0,1.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,1,0,2,0,0,0,0.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,3,0,1,2,0,0,0,0.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,2,0,1,0,0,0,-1.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,3,0,0,0,0,0,-1.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,3,0,0,0,0,0,-4.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,0,1,2,0,0,0,0.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,3,0,0,0,0,0,-4.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,3,0,0,0,0,0,-4.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,3,0,0,0,0,0,-2.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,0,0,3,0,0,0,0.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,0,0,0,0,0,3,0,
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,3,0,0,0,0,0,-5.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,3,0,0,0,0,0,-8.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,3,0,0,0,0,0,-5.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,0,3,0,0,0,0,1.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,0,3,0,0,0,0,4.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,3,0,0,0,0,0,-2.0
