batch,instance,budget,method,timing_basis,completion_rows,feasible_rate,exact_feasible_rate,errors,median_delta_vs_exact
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,cim,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,0.0
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,cim,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,3.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,2.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,cim,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,2.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,2.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,cim,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,0.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,0.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,cim,bp_active_excluding_cloud_call,vehicle,0.0,1.0,3,
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,0.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,cim,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,0.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,0.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,cim,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,4.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,1.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,cim,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,0.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,1.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,cim,bp_active_excluding_cloud_call,vehicle,0.0,1.0,3,
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,0.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,cim,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,0.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,0.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,cim,bp_active_excluding_cloud_call,vehicle,0.0,1.0,3,
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,0.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,cim,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,-2.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,1.0,1.0,0,-3.0
