batch,instance,budget,method,timing_basis,completion_rows,runs,feasible,feasible_rate,errors,optimal,median_all,median_conditional,median_bp_gap_percent,median_reference_gap_percent,median_first_feasible_conditional,reference_optimum
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,compact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,1,66.0,66.0,,0.0,0.010438100001920247,66.0
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,cim,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,2,66.0,66.0,0.0,0.0,1.5400985999949626,66.0
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,3,66.0,66.0,0.0,0.0,0.24134329999651527,66.0
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,exact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,1,66.0,66.0,0.0,0.0,0.17441400000097929,66.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,compact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,1,61.0,61.0,,0.0,0.014475199997832533,61.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,cim,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,0,64.0,64.0,4.6875,4.6875,2.8945326000030036,61.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,0,63.0,63.0,3.1746031746031744,3.1746031746031744,0.7382218999991892,61.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,exact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,1,61.0,61.0,0.0,0.0,0.5209247000020696,61.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,compact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,1,62.0,62.0,,0.0,0.020262899997760542,62.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,cim,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,0,65.0,65.0,4.615384615384615,4.615384615384615,8.593428999993193,62.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,0,65.0,65.0,4.615384615384615,4.615384615384615,2.144328399997903,62.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,exact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,0,63.0,63.0,1.5873015873015872,1.5873015873015872,1.1798371999975643,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,compact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,1,62.0,62.0,,0.0,0.029300599999260157,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,cim,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,0,68.0,68.0,8.823529411764707,8.823529411764707,21.32834610000282,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,0,68.0,68.0,8.823529411764707,8.823529411764707,1.2213466000030166,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,exact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,0,68.0,68.0,8.823529411764707,8.823529411764707,2.330648700000893,62.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,compact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,1,68.0,68.0,,0.0,0.027418600002420135,68.0
