batch,instance,budget,completion_rows,checkpoint,method,pairs,both_feasible,method_wins,exact_wins,ties,method_only,exact_only,both_missing,median_delta_complete
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,1.0,qaia_50_4,3,3,0,3,0,0,0,0,2.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,1.0,qaia_200_10,3,2,0,1,1,0,1,0,
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,1.0,greedy_4,3,3,3,0,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,1.0,greedy_10,3,3,0,3,0,0,0,0,2.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,10.0,qaia_50_4,3,3,0,3,0,0,0,0,2.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,10.0,qaia_200_10,3,3,2,1,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,10.0,greedy_4,3,3,3,0,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,10.0,greedy_10,3,3,0,3,0,0,0,0,2.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,30.0,qaia_50_4,3,3,0,3,0,0,0,0,2.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,30.0,qaia_200_10,3,3,2,1,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,30.0,greedy_4,3,3,3,0,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,30.0,greedy_10,3,3,0,3,0,0,0,0,2.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,60.0,qaia_50_4,3,3,0,3,0,0,0,0,2.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,60.0,qaia_200_10,3,3,2,1,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,60.0,greedy_4,3,3,3,0,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,60.0,greedy_10,3,3,0,3,0,0,0,0,2.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,1.0,qaia_50_4,3,3,1,2,0,0,0,0,6.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,1.0,qaia_200_10,3,1,0,0,1,0,2,0,
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,1.0,greedy_4,3,3,2,1,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,1.0,greedy_10,3,3,1,2,0,0,0,0,2.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,10.0,qaia_50_4,3,3,3,0,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,10.0,qaia_200_10,3,3,2,0,1,0,0,0,-1.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,10.0,greedy_4,3,3,2,1,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,10.0,greedy_10,3,3,1,2,0,0,0,0,2.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,qaia_50_4,3,3,3,0,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,qaia_200_10,3,3,2,0,1,0,0,0,-1.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,greedy_4,3,3,3,0,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,greedy_10,3,3,2,1,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,qaia_50_4,3,3,3,0,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,qaia_200_10,3,3,2,0,1,0,0,0,-1.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,greedy_4,3,3,3,0,0,0,0,0,-1.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,greedy_10,3,3,2,0,1,0,0,0,-1.0
