batch,instance,budget,method,completion_rows,result,seed,status,feasible,objective,reference_optimum,deviation_percent,first_feasible_seconds,best_found_seconds,wall_seconds,graph_seconds,root_initialization_seconds,node_setup_seconds,branch_seconds,pricing_seconds,nodes_processed,root_lp,root_cg_iterations,restricted_mip_seconds,source_sha256,error
model_v3_vertex,2019-03-05_N8_C2,60.0,compact,vertex,2019-03-05_N8_C2_compact.json,0,optimal,1,44.0,44.0,0.0,0.009377300000778632,0.07340650000060123,0.07550940000055562,,,,,,,,,,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vertex,2019-03-05_N8_C2,60.0,qaia_50_4,vertex,2019-03-05_N8_C2_qaia_50_4_s0.json,0,time_limit,1,49.0,44.0,11.363636363636363,0.15942450000056851,0.15942450000056851,60.005270600000586,0.007398300000204472,0.05268990000058693,22.782843400001184,24.983095600004162,6.733460500021465,894,3.6020574511703938,53,0.09675269999934244,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After pricing construction: global time budget exhausted
model_v3_vertex,2019-03-05_N8_C2,60.0,qaia_200_10,vertex,2019-03-05_N8_C2_qaia_200_10_s0.json,0,time_limit,1,45.0,44.0,2.272727272727273,1.8986746000000494,4.47352679999949,60.086819499999365,0.014883099999678961,0.10438699999940582,24.964176600006795,23.29330459999619,8.778082399995583,140,3.6020574511703947,50,0.10261689999970258,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After branch construction: global time budget exhausted
model_v3_vertex,2019-03-05_N8_C2,60.0,greedy_4,vertex,2019-03-05_N8_C2_greedy_4_s0.json,0,time_limit,1,46.0,44.0,4.545454545454546,0.3933862000003501,0.3933862000003501,60.0017128999998,0.007417299999360694,0.01396870000007766,20.81403760001558,27.075744100007796,6.635275700002239,1350,3.602057451170395,31,0.035633899999993446,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After master construction: global time budget exhausted
model_v3_vertex,2019-03-05_N8_C2,60.0,greedy_10,vertex,2019-03-05_N8_C2_greedy_10_s0.json,0,time_limit,1,48.0,44.0,9.090909090909092,0.420917799999188,0.6744235999994999,60.00178609999966,0.007515700000112702,0.01387700000032055,22.206033799980105,24.71258150000267,6.787833000033061,1146,3.602057451170396,32,0.04013630000008561,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,Budget exhausted after RMP; node is not certified
model_v3_vertex,2019-03-05_N8_C2,60.0,exact,vertex,2019-03-05_N8_C2_exact_r0.json,0,time_limit,1,47.0,44.0,6.818181818181818,0.1183327000007921,0.1183327000007921,60.00070490000053,0.007405399999697693,0.014898100000209524,20.806700399985857,28.164821100011977,6.545649700019567,929,3.6020574511703947,51,0.03539069999987987,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After master construction: global time budget exhausted
model_v3_vertex,2019-03-05_N8_C2,60.0,exact,vertex,2019-03-05_N8_C2_exact_r1.json,0,time_limit,1,47.0,44.0,6.818181818181818,0.1183526000004349,0.1183526000004349,60.019945899999584,0.007484100000510807,0.01453029999993305,20.406077700002243,28.91418449998764,6.347487300018656,800,3.6020574511703947,51,0.03473719999965397,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After pricing construction: global time budget exhausted
model_v3_vertex,2019-03-05_N8_C2,60.0,greedy_10,vertex,2019-03-05_N8_C2_greedy_10_s1.json,1,time_limit,1,49.0,44.0,11.363636363636363,0.3831299000003128,0.39309400000001915,60.03232040000057,0.007176600000093458,0.013615099999697122,20.956718300023567,27.181905500004177,6.51258759999655,1279,3.6020574511703956,34,0.04749160000028496,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After branch construction: global time budget exhausted
model_v3_vertex,2019-03-05_N8_C2,60.0,greedy_4,vertex,2019-03-05_N8_C2_greedy_4_s1.json,1,time_limit,1,46.0,44.0,4.545454545454546,0.3511783000003561,0.5472396000004665,60.000921599999856,0.007074299999658251,0.013633899999149435,21.07588210000631,27.847578399998383,6.432127300003231,1034,3.602057451170394,29,0.035062099999777274,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After branch construction: global time budget exhausted
model_v3_vertex,2019-03-05_N8_C2,60.0,qaia_200_10,vertex,2019-03-05_N8_C2_qaia_200_10_s1.json,1,time_limit,1,46.0,44.0,4.545454545454546,0.6746175999996922,1.240376699999615,60.01646279999932,0.0074603999992177705,0.052028299999619776,25.991891699991356,24.57194860000891,6.462623399991571,140,3.602057451170396,45,0.0459352999996554,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After master construction: global time budget exhausted
