batch,instance,budget,method,completion_rows,runs,feasible,feasible_rate,errors,optimal,median_all,median_conditional,median_first_feasible_conditional,reference_optimum
model_v3_vertex,2019-03-05_N8_C2,60.0,compact,vertex,1,1,1.0,0,1,44.0,44.0,0.009377300000778632,44.0
model_v3_vertex,2019-03-05_N8_C2,60.0,qaia_50_4,vertex,3,3,1.0,0,0,49.0,49.0,0.15942450000056851,44.0
model_v3_vertex,2019-03-05_N8_C2,60.0,qaia_200_10,vertex,3,3,1.0,0,0,46.0,46.0,0.6746175999996922,44.0
model_v3_vertex,2019-03-05_N8_C2,60.0,greedy_4,vertex,3,3,1.0,0,0,46.0,46.0,0.3809323999994376,44.0
model_v3_vertex,2019-03-05_N8_C2,60.0,greedy_10,vertex,3,3,1.0,0,0,49.0,49.0,0.3831299000003128,44.0
model_v3_vertex,2019-03-05_N8_C2,60.0,exact,vertex,3,3,1.0,0,0,47.0,47.0,0.1183526000004349,44.0
model_v3_vertex,2019-03-05_N12_C3,60.0,compact,vertex,1,1,1.0,0,1,67.0,67.0,0.012494600000536593,67.0
model_v3_vertex,2019-03-05_N12_C3,60.0,qaia_50_4,vertex,3,3,1.0,0,3,67.0,67.0,0.814295499999389,67.0
model_v3_vertex,2019-03-05_N12_C3,60.0,qaia_200_10,vertex,3,3,1.0,0,2,67.0,67.0,2.5698270000002594,67.0
model_v3_vertex,2019-03-05_N12_C3,60.0,greedy_4,vertex,3,3,1.0,0,3,67.0,67.0,0.41824020000058226,67.0
model_v3_vertex,2019-03-05_N12_C3,60.0,greedy_10,vertex,3,3,1.0,0,2,67.0,67.0,0.20407650000015565,67.0
model_v3_vertex,2019-03-05_N12_C3,60.0,exact,vertex,3,3,1.0,0,0,68.0,68.0,0.22802409999985684,67.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,compact,vehicle,1,1,1.0,0,1,44.0,44.0,0.011034499999368563,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,qaia_50_4,vehicle,3,3,1.0,0,0,44.0,44.0,0.47704460000022664,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,qaia_200_10,vehicle,3,3,1.0,0,0,45.0,45.0,0.5688988999991125,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,greedy_4,vehicle,3,3,1.0,0,0,44.0,44.0,0.12098770000011427,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,greedy_10,vehicle,3,3,1.0,0,0,45.0,45.0,0.33461849999912374,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,exact,vehicle,3,3,1.0,0,0,45.0,45.0,0.13198060000104306,44.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,compact,vehicle,1,1,1.0,0,1,67.0,67.0,0.01383920000080252,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,qaia_50_4,vehicle,3,3,1.0,0,3,67.0,67.0,0.3425311999999394,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,qaia_200_10,vehicle,3,3,1.0,0,3,67.0,67.0,0.2892717000013363,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,greedy_4,vehicle,3,3,1.0,0,3,67.0,67.0,0.30333819999941625,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,greedy_10,vehicle,3,3,1.0,0,3,67.0,67.0,0.20517839999956777,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,exact,vehicle,3,3,1.0,0,3,67.0,67.0,0.2977319000001444,67.0
