batch,instance,budget,completion_rows,method,result,seed,seconds,objective,source
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,compact,2019-03-05_N8_C2_compact.json,0,0.009377300000778632,68.0,compact_mipsol
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,compact,2019-03-05_N8_C2_compact.json,0,0.027069800000390387,58.0,compact_mipsol
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,compact,2019-03-05_N8_C2_compact.json,0,0.02834620000066934,57.0,compact_mipsol
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,compact,2019-03-05_N8_C2_compact.json,0,0.029398200000287034,52.0,compact_mipsol
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,compact,2019-03-05_N8_C2_compact.json,0,0.049398300000575546,50.0,compact_mipsol
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,compact,2019-03-05_N8_C2_compact.json,0,0.05675930000052176,49.0,compact_mipsol
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,compact,2019-03-05_N8_C2_compact.json,0,0.05890590000035445,48.0,compact_mipsol
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,compact,2019-03-05_N8_C2_compact.json,0,0.06296210000073188,46.0,compact_mipsol
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,compact,2019-03-05_N8_C2_compact.json,0,0.06369060000088211,45.0,compact_mipsol
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,compact,2019-03-05_N8_C2_compact.json,0,0.07340650000060123,44.0,compact_mipsol
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s0.json,0,0.15942450000056851,49.0,rmp_integer
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s0.json,0,1.8986746000000494,50.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s0.json,0,1.9141242999994574,49.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s0.json,0,1.917805999999473,47.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s0.json,0,4.47352679999949,45.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_4,2019-03-05_N8_C2_greedy_4_s0.json,0,0.3933862000003501,46.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_10,2019-03-05_N8_C2_greedy_10_s0.json,0,0.420917799999188,54.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_10,2019-03-05_N8_C2_greedy_10_s0.json,0,0.426827699999194,50.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_10,2019-03-05_N8_C2_greedy_10_s0.json,0,0.42986049999944953,49.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_10,2019-03-05_N8_C2_greedy_10_s0.json,0,0.6744235999994999,48.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,exact,2019-03-05_N8_C2_exact_r0.json,0,0.1183327000007921,47.0,rmp_integer
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,exact,2019-03-05_N8_C2_exact_r1.json,0,0.1183526000004349,47.0,rmp_integer
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_10,2019-03-05_N8_C2_greedy_10_s1.json,1,0.3831299000003128,53.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_10,2019-03-05_N8_C2_greedy_10_s1.json,1,0.3901138000001083,52.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_10,2019-03-05_N8_C2_greedy_10_s1.json,1,0.39142919999994774,50.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_10,2019-03-05_N8_C2_greedy_10_s1.json,1,0.39309400000001915,49.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_4,2019-03-05_N8_C2_greedy_4_s1.json,1,0.3511783000003561,55.0,restricted_mip
