batch,instance,budget,method,runs,feasible,feasible_rate,errors,optimal,median_all,median_conditional,median_first_feasible_conditional,reference_optimum
scale_v2_baseline,2019-03-05_N8_C2,60.0,compact,1,1,1.0,0,1,44.0,44.0,0.0093358999999964,44.0
scale_v2_baseline,2019-03-05_N8_C2,60.0,qaia_50_4,3,3,1.0,0,0,49.0,49.0,0.15632589999995616,44.0
scale_v2_baseline,2019-03-05_N8_C2,60.0,qaia_200_10,3,3,1.0,0,0,46.0,46.0,0.6954588999999487,44.0
scale_v2_baseline,2019-03-05_N8_C2,60.0,greedy_4,3,3,1.0,0,0,46.0,46.0,0.3879398999999921,44.0
scale_v2_baseline,2019-03-05_N8_C2,60.0,greedy_10,3,3,1.0,0,0,49.0,49.0,0.39679990000013277,44.0
scale_v2_baseline,2019-03-05_N8_C2,60.0,exact,3,3,1.0,0,0,47.0,47.0,0.11975290000009409,44.0
scale_v2_baseline,2019-03-05_N12_C3,60.0,compact,1,1,1.0,0,1,67.0,67.0,0.013948000000027605,67.0
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_50_4,3,3,1.0,0,3,67.0,67.0,0.8485587000000123,67.0
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_200_10,3,3,1.0,0,2,67.0,67.0,2.5916935000000194,67.0
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_4,3,3,1.0,0,3,67.0,67.0,0.4261910000000171,67.0
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_10,3,3,1.0,0,2,67.0,67.0,0.21391610000000583,67.0
scale_v2_baseline,2019-03-05_N12_C3,60.0,exact,3,3,1.0,0,0,68.0,68.0,0.22974890000000414,67.0
