batch,instance,budget,method,result,seed,seconds,objective,source
scale_v2_baseline,2019-03-05_N8_C2,60.0,compact,2019-03-05_N8_C2_compact.json,0,0.0093358999999964,68.0,compact_mipsol
scale_v2_baseline,2019-03-05_N8_C2,60.0,compact,2019-03-05_N8_C2_compact.json,0,0.028128400000014153,58.0,compact_mipsol
scale_v2_baseline,2019-03-05_N8_C2,60.0,compact,2019-03-05_N8_C2_compact.json,0,0.029493199999933495,57.0,compact_mipsol
scale_v2_baseline,2019-03-05_N8_C2,60.0,compact,2019-03-05_N8_C2_compact.json,0,0.030523399999992762,52.0,compact_mipsol
scale_v2_baseline,2019-03-05_N8_C2,60.0,compact,2019-03-05_N8_C2_compact.json,0,0.0490313000000242,50.0,compact_mipsol
scale_v2_baseline,2019-03-05_N8_C2,60.0,compact,2019-03-05_N8_C2_compact.json,0,0.057437800000002426,49.0,compact_mipsol
scale_v2_baseline,2019-03-05_N8_C2,60.0,compact,2019-03-05_N8_C2_compact.json,0,0.059637399999928675,48.0,compact_mipsol
scale_v2_baseline,2019-03-05_N8_C2,60.0,compact,2019-03-05_N8_C2_compact.json,0,0.06379800000001978,46.0,compact_mipsol
scale_v2_baseline,2019-03-05_N8_C2,60.0,compact,2019-03-05_N8_C2_compact.json,0,0.06457909999994627,45.0,compact_mipsol
scale_v2_baseline,2019-03-05_N8_C2,60.0,compact,2019-03-05_N8_C2_compact.json,0,0.0853621999999632,44.0,compact_mipsol
scale_v2_baseline,2019-03-05_N8_C2,60.0,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s0.json,0,0.15632589999995616,49.0,rmp_integer
scale_v2_baseline,2019-03-05_N8_C2,60.0,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s0.json,0,0.6954588999999487,50.0,restricted_mip
scale_v2_baseline,2019-03-05_N8_C2,60.0,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s0.json,0,0.7077481999999691,49.0,restricted_mip
scale_v2_baseline,2019-03-05_N8_C2,60.0,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s0.json,0,0.7096780999999055,47.0,restricted_mip
